Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
21629416,10/11/2011 01:56:16 PM,10/11/2011 05:50:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,,,MORGAN AVENUE,RICHARDSON STREET,MORGAN AVENUE,RICHARDSON STREET,INTERSECTION,BROOKLYN,,,Closed,,10/11/2011 05:50:00 PM,Unspecified BROOKLYN,BROOKLYN,1001485.0,201653.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.720150836949344,-73.93782400115916,"(40.72015083694934, -73.93782400115916)"
21631279,10/11/2011 01:55:08 PM,10/11/2011 03:55:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,258 LOMBARDY STREET,LOMBARDY STREET,GARDNER AVENUE,SCOTT AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,10/11/2011 03:55:00 PM,Unspecified BROOKLYN,BROOKLYN,1003550.0,203181.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72434056221871,-73.93037004672675,"(40.7243405622187, -73.93037004672675)"
21618093,10/10/2011 07:46:00 PM,12/23/2011 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11222.0,218 INDIA STREET,INDIA STREET,MC GUINNESS BOULEVARD,PROVOST STREET,,,ADDRESS,BROOKLYN,,,Closed,,12/23/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,997858.0,206211.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73266775882224,-73.95089933865783,"(40.73266775882224, -73.95089933865783)"
21617114,10/10/2011 07:16:00 PM,10/11/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11222.0,218 INDIA STREET,INDIA STREET,MC GUINNESS BOULEVARD,PROVOST STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,10/11/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,997858.0,206211.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73266775882224,-73.95089933865783,"(40.73266775882224, -73.95089933865783)"
21618433,10/10/2011 12:48:22 PM,10/26/2011 01:37:23 PM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11222.0,220 WEST STREET,WEST STREET,FREEMAN STREET,EAGLE STREET,,,ADDRESS,BROOKLYN,,,Closed,10/20/2011 12:48:22 PM,10/26/2011 01:37:23 PM,01 BROOKLYN,BROOKLYN,995338.0,206840.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.734397727000854,-73.95999101571392,"(40.734397727000854, -73.95999101571392)"
21614059,10/10/2011 12:05:01 AM,10/27/2011 02:48:12 PM,DOT,Department of Transportation,Sidewalk Condition,Blocked - ATM,Sidewalk,11222.0,67 DRIGGS AVENUE,DRIGGS AVENUE,KINGSLAND AVENUE,MONITOR STREET,,,ADDRESS,BROOKLYN,,,Closed,11/09/2011 12:05:01 AM,10/27/2011 02:48:12 PM,01 BROOKLYN,BROOKLYN,1000428.0,202807.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.723320283644796,-73.9416343987972,"(40.723320283644796, -73.9416343987972)"
21608171,10/08/2011 04:01:00 PM,10/13/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11222.0,645 MANHATTAN AVENUE,MANHATTAN AVENUE,BEDFORD AVENUE,NORMAN AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,10/13/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,997793.0,203185.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72436222838572,-73.95113996303895,"(40.72436222838573, -73.95113996303895)"
21603138,10/07/2011 08:04:10 PM,10/11/2011 09:21:35 AM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11222.0,1 WEST STREET,WEST STREET,QUAY STREET,CALYER STREET,,,ADDRESS,BROOKLYN,,,Closed,01/05/2012 08:04:10 PM,10/11/2011 09:21:35 AM,01 BROOKLYN,BROOKLYN,995708.0,203888.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72629473880226,-73.95866096656194,"(40.72629473880226, -73.95866096656194)"
21599858,10/07/2011 01:31:00 PM,12/01/2011 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11222.0,11 CLAY STREET,CLAY STREET,COMMERCIAL STREET,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,12/01/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,995977.0,207557.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.736364890767106,-73.95768405370423,"(40.73636489076712, -73.95768405370423)"
21606424,10/07/2011 11:41:59 AM,10/26/2011 01:42:38 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11222.0,,,,,VANDAM STREET,MEEKER STREET,INTERSECTION,BROOKLYN,,,Closed,10/17/2011 11:41:59 AM,10/26/2011 01:42:39 PM,01 BROOKLYN,BROOKLYN,1001778.0,203361.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.724838307047655,-73.93676254331564,"(40.72483830704766, -73.93676254331564)"
21598480,10/06/2011 11:45:16 AM,10/17/2011 10:42:43 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Sidewalk Consultation,Street,11222.0,153 MONITOR STREET,MONITOR STREET,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,,Closed,11/05/2011 11:45:16 AM,10/17/2011 10:42:43 AM,01 BROOKLYN,BROOKLYN,1000206.0,203285.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72463268072831,-73.94243417785705,"(40.72463268072831, -73.94243417785704)"
21587086,10/05/2011 04:38:42 PM,10/13/2011 08:20:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,,,MEEKER AVENUE,PORTER AVENUE,MEEKER AVENUE,PORTER AVENUE,INTERSECTION,BROOKLYN,,,Closed,,10/13/2011 08:20:00 AM,Unspecified BROOKLYN,BROOKLYN,1001778.0,203361.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.724838307047655,-73.93676254331564,"(40.72483830704766, -73.93676254331564)"
21589990,10/05/2011 03:49:00 PM,10/06/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,12 Dead Animals,Sidewalk,11222.0,,,MCGUINESS BOULEVARD,HURON STREET,MCGUINESS BOULEVARD,HURON STREET,INTERSECTION,BROOKLYN,,DSNY Garage,Closed,,10/06/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,997517.0,206434.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73328035699043,-73.95212930179842,"(40.73328035699044, -73.95212930179842)"
21590452,10/05/2011 02:33:45 PM,10/14/2011 02:25:18 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11222.0,45 MCGUINESS BOULEVARD,MCGUINESS BOULEVARD,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/15/2011 02:33:45 PM,10/14/2011 02:25:18 PM,01 BROOKLYN,BROOKLYN,998684.0,203122.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72418789972289,-73.94792557530452,"(40.724187899722885, -73.94792557530451)"
21588348,10/05/2011 01:43:21 PM,10/14/2011 03:35:13 PM,DOT,Department of Transportation,Sidewalk Condition,Unsafe Worksite,Sidewalk,11222.0,122 NEWTON STREET,NEWTON STREET,MANHATTAN AVENUE,GRAHAM AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/08/2011 01:43:21 PM,10/14/2011 03:35:14 PM,01 BROOKLYN,BROOKLYN,998898.0,201736.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.720383313677424,-73.94715653109064,"(40.720383313677424, -73.94715653109064)"
21614319,10/05/2011 11:32:42 AM,10/05/2011 12:20:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,,,CALYER STREET,RUSSELL STREET,CALYER STREET,RUSSELL STREET,INTERSECTION,BROOKLYN,,,Closed,,10/05/2011 12:20:00 AM,Unspecified BROOKLYN,BROOKLYN,999405.0,205459.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73060118827297,-73.94531911706265,"(40.73060118827297, -73.94531911706265)"
21590032,10/05/2011 09:57:00 AM,10/06/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,11222.0,,,DRIGGS AVENUE,MCGUINESS BOULEVARD,DRIGGS AVENUE,MCGUINESS BOULEVARD,INTERSECTION,BROOKLYN,,DSNY Garage,Closed,,10/06/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,998915.0,202607.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72277396976124,-73.94709330486279,"(40.722773969761235, -73.94709330486278)"
21584269,10/05/2011 09:16:00 AM,11/21/2011 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11222.0,11 CLAY STREET,CLAY STREET,COMMERCIAL STREET,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,11/21/2011 12:00:00 PM,01 BROOKLYN,BROOKLYN,995977.0,207557.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.736364890767106,-73.95768405370423,"(40.73636489076712, -73.95768405370423)"
21587475,10/05/2011 09:05:07 AM,10/17/2011 11:14:55 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11222.0,116 HURON STREET,HURON STREET,FRANKLIN STREET,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,11/04/2011 09:05:07 AM,10/17/2011 11:14:55 AM,01 BROOKLYN,BROOKLYN,996229.0,206269.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73282931077925,-73.95677702518459,"(40.73282931077924, -73.95677702518459)"
21587332,10/05/2011 08:39:22 AM,10/13/2011 11:31:23 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11222.0,,,,,VANDAM STREET,MEEKER AVENUE,INTERSECTION,BROOKLYN,,,Closed,10/15/2011 08:39:22 AM,10/13/2011 11:31:23 AM,01 BROOKLYN,BROOKLYN,1001778.0,203361.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.724838307047655,-73.93676254331564,"(40.72483830704766, -73.93676254331564)"
21579830,10/04/2011 04:22:19 PM,10/14/2011 02:28:55 PM,DOT,Department of Transportation,Sidewalk Condition,Dumpster - Construction Waste,Sidewalk,11222.0,119 GUERNSEY STREET,GUERNSEY STREET,NORMAN AVENUE,MESEROLE AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/14/2011 04:22:19 PM,10/14/2011 02:28:56 PM,01 BROOKLYN,BROOKLYN,997098.0,203495.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72521413976707,-73.95364677129041,"(40.72521413976707, -73.95364677129041)"
21584287,10/04/2011 03:29:38 PM,10/05/2011 11:01:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,,,FREEMAN STREET,MC GUINNESS BOULEVARD,FREEMAN STREET,MC GUINNESS BOULEVARD,INTERSECTION,BROOKLYN,,,Closed,,10/05/2011 11:01:00 AM,Unspecified BROOKLYN,BROOKLYN,997431.0,206947.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73468854410276,-73.95243860650297,"(40.73468854410276, -73.95243860650297)"
21589078,10/04/2011 03:25:42 PM,10/05/2011 10:31:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,651 MANHATTAN AVENUE,MANHATTAN AVENUE,BEDFORD AVENUE,NORMAN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,10/05/2011 10:31:00 AM,Unspecified BROOKLYN,BROOKLYN,997777.0,203222.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.724463808877935,-73.9511976129874,"(40.72446380887794, -73.95119761298741)"
21584279,10/04/2011 03:24:52 PM,10/05/2011 10:12:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0, MANHATTAN AVENUE,MANHATTAN AVENUE,CALYER STREET,NOBLE STREET,,,BLOCKFACE,BROOKLYN,,,Closed,,10/05/2011 10:12:00 AM,Unspecified BROOKLYN,BROOKLYN,997147.0,204684.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7284775835692,-73.95346770958956,"(40.7284775835692, -73.95346770958957)"
21584286,10/04/2011 03:23:52 PM,10/05/2011 10:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11222.0,848 MANHATTAN AVENUE,MANHATTAN AVENUE,MILTON STREET,NOBLE STREET,,,ADDRESS,BROOKLYN,,,Closed,,10/05/2011 10:00:00 AM,Unspecified BROOKLYN,BROOKLYN,997072.0,204885.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72902938845452,-73.9537379260434,"(40.72902938845452, -73.9537379260434)"
